text,dateNotBefore,dateNotAfter,avgDate,period
"Deine Zeit ist am Himmel, deine Zeit ist auf der Erde.",-2375,-2345,-2360,Middle Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der vor der Gotteshalle ist, gibt:",-2345,-2181,-2263,Middle Kingdom
Der Wab-Priester des Königs und Hüter des Geheimnisses Imi-set-kai.,-2161,-1980,-2071,New Kingdom
"Unas verbringt Tag und Nacht, indem er die beiden 'Dechsel' (d.h. Horus und Seth) in Hermopolis beschwichtigt.",-2375,-2345,-2360,Middle Kingdom
Er soll zu seinem Mund führen.,-2321,-2287,-2304,Middle Kingdom
Die Verwalterin des Königsvermögens und Versorgte bei dem großen Gott Hetep-heres.,-2345,-2181,-2263,Middle Kingdom
"Sie bedeutet, Tränen herbeizuführen, dadurch, daß man einen Mann/Menschen traurig stimmt (wörtl.: mittels dem Betrüben eines Mannes).",-1939,-1760,-1850,New Kingdom
"(Untersuchung:) Wenn du einen Mann (d.h. Patienten) mit einem $ḥsb$-Bruch an seinem Oberarm untersuchst,
(und) wenn du seinen Oberarm so vorfindest, (dass) er zu niedrig(?) für ihn (den Patienten) ist (oder: von ihm herabhängt/weghängt(? und von seinem Zweiten (d.h. den zweiten Arm oder die zweite Knochenhälfte) absteht (?).",-1580,-1539,-1560,Late Period
"Wenn du im Torgebäude/Eingangsportal bist, dann verhalte dich (wörtl.: stehe auf und setze dich) gemäß deiner Position, die dir am ersten Tag auferlegt worden ist.",-1939,-1760,-1850,New Kingdom
"der Schakal von Oberägypten, der aus der Nut hervorgekommen ist!",-1759,-1630,-1695,New Kingdom
"Der Aufseher der Priester von (der Pyramidenanlage) Das Leben des Neferkare dauert, wirklicher Hatia (Rangtitel), Unteraufseher der Priester an (der Pyramidenanlage) Das Leben des Neferkare dauert, Vorlesepriester, Oberhaupt, Chentischi an der (Pyramidenanlage) Das Leben des Neferkare dauert, Vorsteher von Oberägypten, großes Oberhaupt des Thinitischen Gaues, Gutsverwalter, einziger Freund (des Königs), großes Oberhaupt von Atfet, Vorsteher der beiden Scheunen, Vorsteher der beiden Schatzhäuser und Vorsteher der beiden Teiche, der Versorgte beim großen Gott Djau.",-2345,-2181,-2263,Middle Kingdom
"Es kommt dieser Verklärte, der in Nedit ist, die Macht, die im Thinitischen Gau ist.""",-2321,-2287,-2304,Middle Kingdom
Das Abwehren einer Schlange ist es.,-1845,-1819,-1832,New Kingdom
"Möge Osiris seinen Platz hervorheben gegenüber den Großen, die in Tadjeser sind.",-1878,-1843,-1861,New Kingdom
"Ich werde ihn den Westen erreichen lassen, (und zwar) wie einer, der in seiner Pyramide ist, nachdem ein Hinterbliebener (wörtl.: einer, der auf Erden ist) sich bei seinem Sarg aufgestellt hat (oder: und um dessen Bestattung sich ein Hinterbliebener gekümmert hat).",-1939,-1760,-1850,New Kingdom
"Dein Gesicht soll nicht erblassen, nun daß du zu mir gelangt bist!",-1939,-1760,-1850,New Kingdom
"Gib dem Pepi Neferkare reichlich, damit Pepi Neferkare soviel du gibst essen kann.",-2278,-2184,-2231,Middle Kingdom
"Osiris Neith, nimm dir das Horusauge, das er (Seth) herausgezogen hat.",-2278,-2184,-2231,Middle Kingdom
"Was die Menschen empfangen, nachdem sie begraben worden sind, - ihr Tausend an Brot, ihr Tausend an Bier - (kommt) von dem Speisetisch des Chontamenti.",-2375,-2345,-2360,Middle Kingdom
"Erstrahle du, so dass wir vollständig sehen! ❡",-1980,-1760,-1870,New Kingdom
"Du streckst deine Hand aus (?) zu den Toten und zu den Verklärten, die deine Hand für Chontamenti fassen.",-2278,-2184,-2231,Middle Kingdom
"Ich kenne nicht den, der veranlaßt, daß ich spreche!""",-1845,-1819,-1832,New Kingdom
"Der Erbfürst und Graf, Neheri's Sohn, Chnumhotep, den Baqet geboren hat, der/die Gerechtfertigte, Herr/Herrin der Versorgtheit.",-1878,-1837,-1858,New Kingdom
Nicht soll sein zum Ka Gehöriges existieren.,-2345,-2323,-2334,Middle Kingdom
Du bist doch ein solcher(?)?,-2375,-2345,-2360,Middle Kingdom
"""Froh sei dein Herz, Rawoser.",-1580,-1539,-1560,Late Period
"Horus hat Seth gepackt und er hat ihn für dich plaziert, damit er dich trage und unter dir bebe, wie die Erde bebt, indem du von ihm abgesondert bist in deinem Namen 'Abgesondertes Land'.",-2278,-2184,-2231,Middle Kingdom
"Dein Lotosknospen-Szepter ist an der Spitze der Lebenden, dein Stab ist an der Spitze der Verklärten, wie Anubis, der an der Spitze der Westlichen ist, wie Anedjti, der an der Spitze der östlichen Gaue ist.",-2278,-2184,-2231,Middle Kingdom
"(Glosse A:) Was (die Textstelle) ""Eine $wnḫ$-Lockerung (d.h. eine Verrenkung, Verschiebung) an einem Wirbel seines Halses"" angeht:
er (d.h. der Arzt oder ein zuvor genanntes Handbuch) sagt (es) über eine $jwd$-Trennung eines Halswirbels von dem nächsten (wörtl.: seinem zweiten),
(aber) das Hautgewebe, das darüber ist, erweist sich als unversehrt;",-1580,-1539,-1560,Late Period
"Nimm dir den Ausfluß, der aus dir hervorgekommen ist; dein Herz wird dadurch nicht müde sein.",-2278,-2184,-2231,Middle Kingdom
"Er (bzw. sie) möge sich nicht für die Nacht fertig machen, um Widerstand zu leisten (?).",-1939,-1760,-1850,New Kingdom
"Ein Diener hielt seinen Kopf und war dabei, (diesen) für ihn massierend einzureiben.",-1580,-1539,-1560,Late Period
"Kammer des Anubis (oder: Chontamenti), Schatzhaus",-2800,-2650,-2725,Old Kingdom
"Osiris Neith, nimm dir die abgetrennten(?) Köpfe derer, die im Gefolge des Seth sind.",-2278,-2184,-2231,Middle Kingdom
Er wird nicht zugrunde gehen und dieser Unas wird nicht zugrunde gehen.,-2375,-2345,-2360,Middle Kingdom
"Mögen ihn die Großen von Busiris, der Hofstaat des Herrn von Abydos, verklären.",-2008,-1957,-1983,New Kingdom
(Und) weiche nicht von ihr ab!,-1939,-1760,-1850,New Kingdom
"Sein Sohn, der Verwalter des Königsvermögens Ra-wer.",-2475,-2455,-2465,Middle Kingdom
"Neith, nimm dir das Horusauge und statte dich damit aus.",-2278,-2184,-2231,Middle Kingdom
"Unas hat auf euch geschaut, wie Sobek auf Neith schaute.",-2375,-2345,-2360,Middle Kingdom
"Osiris Pepi, hier ist der, der Horus' Auge raubte (?).",-2321,-2287,-2304,Middle Kingdom
Und dann muß folglich sein Nacken darunter/infolgedessen leiden.,-1580,-1539,-1560,Late Period
Seine Opferspende ist im Nun.,-2375,-2345,-2360,Middle Kingdom
"Da öffnete ich meinem Ba gegenüber meinen Mund, damit/wobei ich auf das, was er gesagt hatte, antwortete:",-1939,-1760,-1850,New Kingdom
Dann gehört sein $bꜥꜥ$ der Schwalbe.,-1818,-1630,-1724,New Kingdom
Seine Opfer seien vor ihm.,-2008,-1957,-1983,New Kingdom
"""O Oberdomänenvorsteher, mein Herr,
man fällt tief (wörtl.: fern) wegen der Begierde.",-1939,-1760,-1850,New Kingdom
"Ach, vielleicht wollt ihr diesen (Sack) Gerste eurem Bündelträger geben.",-1580,-1539,-1560,Late Period
"Seine Ehefrau, seine Geliebte, Einziger Schmuck des Königs, Hemi.",-2345,-2181,-2263,Middle Kingdom
"Seine Lippen sind aufrichtig, wenn er am Reden ist.",-1939,-1760,-1850,New Kingdom
"Wein, jšd-Früchte, Christusdornfrucht, Feigen, Weintrauben, frische sẖ,t-Körner.",-2686,-2613,-2650,Old Kingdom
"(und indem) er nicht in der Lage ist (wörtl.: nicht (eine Möglichkeit) findet), auf seine Schultern und seine Brust zu blicken.",-1580,-1539,-1560,Late Period
"Du sollst nicht zulassen, daß Pepi fern von dir ist in deinem Namen 'Ferne' (Himmel).",-2321,-2287,-2304,Middle Kingdom
Die Greise und Greisinnen unter ihnen sind für seine Feuerung.,-2375,-2345,-2360,Middle Kingdom
"Anubis kommt dir entgegen, der Zufriedene(?) hat dir seinen Arm gereicht.",-2321,-2287,-2304,Middle Kingdom
"Du schwimmst unter ihm, indem er den trägt, der größer ist als er, welcher du bist.",-2345,-2323,-2334,Middle Kingdom
"Die, die kommt (oder: das, was kommt) (?), sie/es vertreibt des Gekommenen (?).",-1759,-1630,-1695,New Kingdom
"Min Anbeten durch den Vertreter des Siegelvorstehers, Sobekiry.",-1759,-1630,-1695,New Kingdom
So sollst du dagegen handeln:,-1845,-1773,-1809,New Kingdom
"Grüne Schminke, schwarze Augenschminke, je ein Beutel.",-2375,-2345,-2360,Middle Kingdom
"(wobei) er sich nicht nach unten neigen kann,
sich aber (auch) nicht nach oben aufrichten kann.""",-1580,-1539,-1560,Late Period
"Der Himmel ist klar(?), Sothis lebt, denn Unas ist einer, der lebt, der Sohn der Sothis, für den die beiden Neunheiten sich im Großen Bär, dem Unvergänglichen, gereinigt haben (?)/den die beiden Neunheiten für ihn (= Re) im Großen Bär, dem Unvergänglichen, gereinigt haben (?).",-2375,-2345,-2360,Middle Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der vor der Götterhalle ist, gibt:",-2494,-2345,-2420,Middle Kingdom
"(und) du bist vollendet, (nur) nicht für den Raub.",-1939,-1760,-1850,New Kingdom
Widersetze dich nicht in dem Aktionsmoment eines Großen!,-1939,-1760,-1850,New Kingdom
"Die Tasche des Pepi Neferkare ist aus der $twn$-Pflanze, der Korb des Pepi Neferkare ist aus Binsen(?).",-2278,-2184,-2231,Middle Kingdom
"Der Gottessiegler der Barke (namens) Ba-netjeru, Gottessiegler der Barke des (Gottes) Herr des Volkes und Gottessiegler der Barke des (Gottes) Dua-tawi Mer-ib.",-2613,-2494,-2554,Middle Kingdom
Möge sie dir dein Herz in deinen Leib bringen.,-2278,-2184,-2231,Middle Kingdom
"Ein Opfer, das der König und Anubis, der auf seinem Hügel ist, Imiut, der Herr von Tadjeser, der vor der Gotteshalle ist, geben.",-2065,-2016,-2041,New Kingdom
"Wach auf, richte dich auf!",-2278,-2184,-2231,Middle Kingdom
"tausend von jeder schönen Sache für Kai, täglich.",-2494,-2345,-2420,Middle Kingdom
Ein Jungtier des Langhornrindes; ein Jungtier des Langhornrindes; ein Jungtier des Langhornrindes.,-2494,-2181,-2338,Middle Kingdom
"Ist er lebensvoll, ist dieser Unas lebensvoll.",-2375,-2345,-2360,Middle Kingdom
"Mit schmerzhafter Rage, der, von dem nicht gilt, dass es ein Abwehren seines Bas gibt!",-1980,-1939,-1960,New Kingdom
"Dein Sohn Horus hat ihn geschlagen, er hat ihm sein Auge entrissen und er hat es dir gegeben, damit du dadurch ba-haft und mächtig seist an der Spitze der Verklärten.",-2321,-2287,-2304,Middle Kingdom
Die Versorgte bei dem Großen Gott Chentj.,-2345,-2181,-2263,Middle Kingdom
"Jahr der königlichen Inspektion (durch) den Meister der königlichen Zimmerleute, (Lieferung von?) Akazienholz",-2842,-2800,-2821,Old Kingdom
"Der Vorsteher der Chentuschi am Palast, Hüter des Geheimnisses seines Herrn, der von ihm geliebte, Wab-Priester des Königs, Priester des Cheops Imi-set-kai.",-2161,-1980,-2071,New Kingdom
"(Glosse A:) Was (die Textstelle) ""der $ḥsb$-Bruch in der $šty.t$-Kammer seiner Nase"" angeht:
das ist die Mitte seiner Nase bis hin zum (hinteren) Ende, das bis zum Bereich zwischen seinen beiden Augenbrauen reicht.",-1580,-1539,-1560,Late Period
dein Gesicht ist (das des) Upuaut.,-2321,-2287,-2304,Middle Kingdom
"Dein Sohn Horus hat ihn geschlagen, er hat ihm sein Auge entrissen und er hat es dir gegeben, damit du dadurch ba-haft und mächtig seist an der Spitze der Verklärten.",-2345,-2323,-2334,Middle Kingdom
"Man kann nicht dem entkommen, der einen/ihn bestimmt hat.",-1939,-1760,-1850,New Kingdom
"O (du) der (immer) ergreift, ergreife nicht!",-2278,-2184,-2231,Middle Kingdom
er wird den Ka dieses Unas im Duat-See säubern.,-2375,-2345,-2360,Middle Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der vor der Gotteshalle ist, gibt:",-2345,-2181,-2263,Middle Kingdom
"Sein ältester Sohn, der Zab-Schreiber Iren-achti.",-2686,-2161,-2424,Middle Kingdom
"Die Königstochter, der Schmuck des Königs, die Herrin der Ehrwürdigkeit beim großen Gott Nen-Sedjer-kai.",-2613,-2494,-2554,Middle Kingdom
"Wenn das, was er gesehen hat, ihm entgeht (oder: durch ihn ans Licht kommt), (indem/so daß) er einen Fall regelt, über den du dich ärgerst, dann sei (dennoch) freundlich zu ihm, oder fasse (dich wenigstens) nicht ins Gesicht (?)!",-1939,-1760,-1850,New Kingdom
"O du mit glänzenden Ufern, der auf seinem $jꜣm$-Baum ist!",-2278,-2184,-2231,Middle Kingdom
Dein Fleisch ist das Fleisch dieses Unas.,-2375,-2345,-2360,Middle Kingdom
"König von Ober- und Unterägypten, Chasti (oder: Zemti)",-3150,-2800,-2975,Old Kingdom
"Großer der Zehn von Oberägypten, Verwalter des Königsvermögens, Vorlesepriester und einziger Freund (des Königs) Mer-ib.",-2613,-2494,-2554,Middle Kingdom
Die (Domäne) Gründung des Seschemnefer.,-2445,-2421,-2433,Middle Kingdom
Das Bringen der Gabe der Dörfer der Totenstiftung.,-2494,-2345,-2420,Middle Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der vor der Gotteshalle ist, gibt:",-2494,-2345,-2420,Middle Kingdom
"Ich bin (nun) in seinem großen Amt, welches Re gibt, ein vortrefflicher Sohn, der zu erschaffen hat den, der ihn erschaffen hat.",-1694,-1693,-1694,New Kingdom
"Wenn ihr wünscht, dass eure Stadtgötter euch loben sowie jeder, der an diesem Grab vorbeigehen wird, so sollt ihr sagen:",-1939,-1630,-1785,New Kingdom
"Dies ist nämlich einer, der hervortritt, indem/damit er ihn zu sich holt (oder: indem er sich zu ihm bringt). (?)",-1939,-1760,-1850,New Kingdom
"Möget ihr am Horizont aufgehen, dort, wo ihr Ach geworden seid.",-2375,-2345,-2360,Middle Kingdom
"Tausend an Bier, Pezen-Fladen und Brot, tausend an Kleidung, tausend an Alabastergefäßen.",-2494,-2181,-2338,Middle Kingdom
"Das Anbeten von Min-Horus, dem Starken, durch den Verwalter der Mannschaft des Herrschers, Kemes, den Gerechtfertigten, den der Gefolgsmann Bembu, der Gerechtfertigte, gezeugt hat, den die Herrin des Hauses Ren-seneb, die Gerechtfertige, geboren hat, wobei er sagt:",-1759,-1630,-1695,New Kingdom
"Seine Majestät kam, als der breite Hof dieses Tempels gefüllt war mit Wasser.",-1641,-1634,-1638,Late Period
Beseitigen der $wrm.yt$-Krankheit im Bauch:,-1818,-1630,-1724,New Kingdom
"O Steuermann, laß dein Schiff nicht vom Kurs abkommen!",-1939,-1760,-1850,New Kingdom
Ein Aufwärter des großen Kellers.,-2487,-2475,-2481,Middle Kingdom
Daraufhin streckte ihm der Königssohn Djedefhor seine beiden Arme entgegen,-1580,-1539,-1560,Late Period
"""Ja, ich kann (es), o Herrscher, LHG, mein Herr!""",-1580,-1539,-1560,Late Period
Sie möge bestattet werden in der Begräbnisstätte.,-2345,-2181,-2263,Middle Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Osiris gibt: Ein Totenopfer für ihn, den wirklichen Hatia (Rangtitel) und Vorsteher jeder Arbeit des Königs Mehi, man sagt zu ihm und seinem Würdigen (Ka?) Ptah-neb-nefret.",-2345,-2181,-2263,Middle Kingdom
"(Wenn) du reden wirst, (dann) sei dir sicher, daß du die Lösung hast.",-1939,-1760,-1850,New Kingdom
Sie stieß einen sehr großen Schrei aus!,-1939,-1760,-1850,New Kingdom
"Nimm dir deinen Weihrauch, damit du göttlich wirst.",-2321,-2287,-2304,Middle Kingdom
Der Speichel des Re ist es.,-1939,-1630,-1785,New Kingdom
Du reinigst dich zusammen mit dem Horusgeleit.,-2375,-2345,-2360,Middle Kingdom
"Osiris Unas, nimm dir das Horusauge, das er (Seth) herausgezogen hat.",-2375,-2345,-2360,Middle Kingdom
"Jubel(?) für Unas, nachdem er den Horizont eingenommen hat.",-2375,-2345,-2360,Middle Kingdom
Deine Zeit gibt es dort nicht mehr.,-2375,-2345,-2360,Middle Kingdom
"Große Neunheit, dieser hier ist Osiris, den ihr aufleben und leben ließt.",-2375,-2345,-2360,Middle Kingdom
"Die Große Neunheit wird dich schützen, nachdem sie dir deinen Feind unter dich gegeben haben.",-2321,-2287,-2304,Middle Kingdom
"Er möge bestattet sein in der westlichen Begräbnisstätte, indem er sehr schön alt ist, als Versorgter beim großen Gott, der Vorsteher der Zehn der Barke und Vorsteher der Stätte des Palastes Demeg.",-2345,-2181,-2263,Middle Kingdom
Das Bestellen (des Ackers) durch die Schafherde.,-2345,-2181,-2263,Middle Kingdom
"Ein Sterblicher, er stirbt ebenso wie (wörtl.: zusammen mit) seine Untergebenen.",-1939,-1760,-1850,New Kingdom
"Lobpreis geben dem Osiris Chontamenti, dem Herrn von Abydos, bei den großen Prozessionen; seine Vollkommenheit sehen im Wag-Fest im Bezirk Redjet-Heteput am großen Tor des Haker-Festes, aus dem er herauskommt zu seinen Festen der Djet-Ewigkeit.",-1878,-1843,-1861,New Kingdom
"Er hat veranlaßt, daß die Götter dich schützen.",-2287,-2278,-2283,Middle Kingdom
Daraufhin begab sich Mesechenet zu ihm.,-1580,-1539,-1560,Late Period
"Steh auf, $Zḫn-wr$, als Wepwaut, angefüllt mit deiner Wirkungsmächtigkeit und hervorgekommen aus dem Horizont.",-2375,-2345,-2360,Middle Kingdom
Es (das Netz) kommt einen guten Fang bringend.,-2345,-2181,-2263,Middle Kingdom
"Re, reiche Teti deine Arme.",-2345,-2323,-2334,Middle Kingdom
"Nemti-em-za-ef Merenre ist zu dir gekommen, Re, Nemti-em-za-ef Merenre ist zu dir gekommen, (du) 'Der keine Grenze hat', damit er dich rudere, damit er dich schütze.",-2287,-2278,-2283,Middle Kingdom
Dann sollst du ein wenig davon an einen der $tpꜣ$-Kopfteile geben.,-1818,-1630,-1724,New Kingdom
Die (diese Urkunde beinhaltende) Klage lautet:,-1617,-1610,-1614,Late Period
"Teti ist zu dir gekommen, Langlebiger.",-2345,-2323,-2334,Middle Kingdom
Auch du bist mit deinem Ka gegangen.,-2375,-2345,-2360,Middle Kingdom
Deine beiden Gifttropfen sind an deinen Backen(?).,-2375,-2345,-2360,Middle Kingdom
"Palastleiter, Leiter des Königshauses, Leiter der Freunde, Set-kai.",-3018,-2974,-2996,Old Kingdom
"Der Priester an der Teti-Pyramide, Pächter, Einziger Freund, Vorlesepriester, Räuchermeister und Zaubermeister Hetepeniptah.",-2345,-2323,-2334,Middle Kingdom
"Sie schlägt dich in dein Gesicht und kratzt dich an deinen Augen, so daß du in deinen Kot fällst und in deinen Urin gleitest.",-2375,-2345,-2360,Middle Kingdom
"Er möge bestattet sein in der westlichen Begräbsnisstätte, in dem er sehr schön alt ist als Herr der Ehrwürdigkeit beim großen Gott, der Verwalter des Königsvermögens Yu.",-2345,-2181,-2263,Middle Kingdom
"Ipep, er möge wieder leben, Herr der Ehrwürdigkeit, geboren von der Herrin des Hauses Ray, der seligen, Herrin der Ehrwürdigkeit.",-1980,-1760,-1870,New Kingdom
"Umfange ihn, Große Vereinigerin(?)/Großes Sieb(?), diesen Größten unter deinen Kindern!",-2321,-2287,-2304,Middle Kingdom
Sein (d.h. des Plappermauls?) Weg ist versperrt;,-1939,-1760,-1850,New Kingdom
"So wie deine Mannschaft der Nicht-Untergehenden nicht gehindert werden darf, dich zu fahren, so darfst auch du sie nicht hindern, zu veranlassen, dass Nemti-em-za-ef Merenre in diese deine Barke einsteigt.",-2287,-2278,-2283,Middle Kingdom
Sage doch nicht meinen Namen!,-1759,-1630,-1695,New Kingdom
"Tausend an Brot, Bier und Fladen, tausend an Kleidung und tausend an Alabastergefäßen.",-2613,-2494,-2554,Middle Kingdom
für den das Sonnenvolk in Heliopolis jubelt.,-1759,-1630,-1695,New Kingdom
"Einziger Freund (des Königs), Vorlesepriester und großes Oberhaupt von Atfet Qehui.",-2345,-2287,-2316,Middle Kingdom
Es wurde mitgeteilt dem Schreiber der $ḫnr.t$ Amenhotep (in seiner Funktion) als stellvertretender Schreiber des Sprechers des nördlichen Sektors.,-1617,-1610,-1614,Late Period
"Osiris Unas, nimm dir das Horusauge.",-2375,-2345,-2360,Middle Kingdom
"Er wird dir den Weg bereiten, damit du auf ihm hervorkommen kannst zusammen mit den Göttern, indem du als dein Ba lebst.",-2278,-2184,-2231,Middle Kingdom
deine (beiden) $ꜥn.t$-Finger (Daumen?) sind unter seinem Kinn.,-1580,-1539,-1560,Late Period
"Seine erste/wichtigste Tat war die Optimierung seiner Stadt,",-1878,-1837,-1858,New Kingdom
"Atum, laß diesen Unas zu dir emporsteigen, schließe ihn in deine Arme ein.",-2375,-2345,-2360,Middle Kingdom
"Geb hat für ihn ganz so gehandelt, wie für ihn dabei gehandelt wurde.",-2375,-2345,-2360,Middle Kingdom
Durch ihn gingen sie in Flammen auf (d.h. sie verbrannten).,-1939,-1760,-1850,New Kingdom
"(Aber) der Oberdomänenvorsteher ist es, der von dir in Erinnerung gerufen worden ist.""",-1939,-1760,-1850,New Kingdom
"Geht dieser Unas weg, gehst du weg.",-2375,-2345,-2360,Middle Kingdom
"Den Rerek, der die Kas zerstört, zu vertreiben.",-1845,-1819,-1832,New Kingdom
Der Aktenschreiber des Königs Kai-her-setef.,-2487,-2455,-2471,Middle Kingdom
